target_id	length	eff_length	est_counts	tpm
BgeEVm006591t7	9426	9266.07	4.45785	0.199999
BgeEVm034509t1	9425	9265.07	286.152	12.8395
BgeEVm017497t1	9420	9260.07	3.75021	0.16836
BgeEVm001693t1	9420	9260.07	24	1.07745
BgeEVm004821t1	9417	9257.07	72.9376	3.27549
BgeEVm007746t1	1511	1351.07	93	28.6156
BgeEVm000573t5	9372	9212.07	52.2879	2.35962
BgeEVm017180t1	1046	886.074	2.97063	1.39372
BgeEVm001233t1	9368	9208.07	7.38433	0.333381
BgeEVm007287t1	9366	9206.07	69.4463	3.13598
BgeEVm000269t1	9359	9199.07	20.2053	0.913105
BgeEVm002116t4	9299	9139.07	3.03573	0.138089
BgeEVm016500t1	9296	9136.07	147.713	6.72138
BgeEVm022515t1	9273	9113.07	92.1092	4.20181
BgeEVm006592t1	9253	9093.07	38.5	1.76015
BgeEVm003301t1	9233	9073.07	57.4247	2.63114
BgeEVm017256t1	929	769.074	3.27738	1.77157
BgeEVm000922t1	9223	9063.07	73.2968	3.36208
BgeEVm020325t1	2911	2751.07	8.95355	1.35298
BgeEVm000546t1	9198	9038.07	25	1.14991
BgeEVm000121t1	9176	9016.07	3	0.138326
BgeEVm000888t1	9170	9010.07	60	2.76836
BgeEVm000669t1	4482	4322.07	0	0
BgeEVm021240t1	5166	5006.07	13.6715	1.13532
BgeEVm017807t1	9136	8976.07	132.98	6.15884
BgeEVm000472t8	9134	8974.07	9.00472	0.417138
BgeEVm009370t1	9105	8945.07	263.329	12.2381
BgeEVm014220t1	1736	1576.07	3.62592	0.956401
BgeEVm001232t1	9084	8924.07	3.44756	0.160601
BgeEVm001159t1	9080	8920.07	38.9573	1.81559
BgeEVm003351t1	9079	8919.07	30.6627	1.42919
BgeEVm000501t4	9076	8916.07	137.552	6.41347
BgeEVm013625t1	9037	8877.07	73.7953	3.45587
BgeEVm012905t1	9036	8876.07	31.986	1.49809
BgeEVm012483t5	9034	8874.07	14.1397	0.662395
BgeEVm023388t1	9023	8863.07	29.6463	1.39055
BgeEVm003672t1	8984	8824.07	12.2573	0.577465
BgeEVm032517t1	8978	8818.07	142.456	6.71592
BgeEVm020999t1	3866	3706.07	81.1687	9.10486
BgeEVm001073t1	8974	8814.07	9.12802	0.430526
BgeEVm003211t1	2425	2265.07	8.65425	1.58835
BgeEVm021713t2	5968	5808.07	22.774	1.63007
BgeEVm002746t1	8953	8793.07	93.7858	4.434
BgeEVm028085t1	8953	8793.07	48.3447	2.28563
BgeEVm000280t1	8951	8791.07	142.25	6.72681
BgeEVm000127t1	8948	8788.07	6.79159	0.321275
BgeEVm001955t1	8947	8787.07	182.746	8.64576
BgeEVm018612t1	8897	8737.07	127.185	6.0516
BgeEVm021667t1	3590	3430.07	45.2123	5.47964
BgeEVm017902t1	8887	8727.07	41.1438	1.95991
BgeEVm021992t1	8854	8694.07	29.3584	1.40381
BgeEVm000305t1	8852	8692.07	0	0
BgeEVm032518t1	8849	8689.07	7.9343	0.379607
BgeEVm004123t6	8834	8674.07	1.98666e-07	9.52137e-09
BgeEVm006490t1	2717	2557.07	10.7475	1.74728
BgeEVm013510t1	4232	4072.07	15.3251	1.56454
BgeEVm021993t1	8828	8668.07	14.2973	0.685695
BgeEVm017730t1	1608	1448.07	23.3083	6.69141
BgeEVm023106t1	8811	8651.07	27.6645	1.32939
BgeEVm015067t1	3367	3207.07	26.3229	3.41211
BgeEVm018753t1	1039	879.074	18	8.51228
BgeEVm003024t1	8762	8602.07	2	0.0966553
BgeEVm019283t1	8755	8595.07	13.3557	0.645974
BgeEVm017277t1	2186	2026.07	14.552	2.98585
BgeEVm019139t1	1089	929.074	0	0
BgeEVm013551t1	5441	5281.07	23.3389	1.8372
BgeEVm015642t1	5693	5533.07	189.155	14.2119
BgeEVm000186t1	8719	8559.07	10.9799	0.533298
BgeEVm003035t1	8719	8559.07	66.177	3.21425
BgeEVm026320t1	8703	8543.07	92.6517	4.50856
BgeEVm016780t1	4244	4084.07	3.53879	0.360213
BgeEVm021697t1	4559	4399.07	19.4156	1.8348
BgeEVm000536t1	8670	8510.07	64.3094	3.14152
BgeEVm008686t2	8669	8509.07	0	0
BgeEVm000862t3	8665	8505.07	157.096	7.67866
BgeEVm009155t1	8662	8502.07	24	1.17351
BgeEVm014251t1	8659	8499.07	46.1862	2.25912
BgeEVm005737t1	8656	8496.07	32	1.56578
BgeEVm010403t1	8651	8491.07	16.9678	0.830735
BgeEVm019892t1	8649	8489.07	39.5624	1.93741
BgeEVm020277t1	8645	8485.07	50.4147	2.47002
BgeEVm022516t1	8644	8484.07	49.3364	2.41748
BgeEVm017423t1	1294	1134.07	5	1.83285
BgeEVm015883t1	3677	3517.07	1.00336	0.118597
BgeEVm013384t1	8638	8478.07	7.62711	0.373992
BgeEVm009604t5	1242	1082.07	0	0
BgeEVm008223t1	2152	1992.07	0	0
BgeEVm001053t1	8618	8458.07	7.37408	0.362439
BgeEVm005962t1	2169	2009.07	22.5609	4.6683
BgeEVm021972t1	6788	6628.07	34.6217	2.1715
BgeEVm001192t1	8579	8419.07	15.4832	0.764532
BgeEVm006109t1	8569	8409.07	0	0
BgeEVm000126t4	8565	8405.07	20.9744	1.0374
BgeEVm001258t1	8565	8405.07	471.255	23.3085
BgeEVm016607t1	4337	4177.07	0	0
BgeEVm004197t1	8537	8377.07	9.77869	0.485274
BgeEVm010402t1	5967	5807.07	649.984	46.5312
BgeEVm006464t1	8534	8374.07	23.0614	1.14485
BgeEVm004960t1	8519	8359.07	33.1916	1.6507
BgeEVm016561t1	8514	8354.07	74.3686	3.70075
BgeEVm022422t1	416	256.415	3.97284	6.44106
BgeEVm008209t1	8500	8340.07	37.4219	1.86533
BgeEVm016333t1	2248	2088.07	4.80116	0.95587
BgeEVm019436t1	8495	8335.07	60.0129	2.99319
